userid,movieid,rating,timestamp
4910,1198,4,962678333
5733,3266,4,959647859
1922,1663,4,975162656
636,1389,4,975752411
3408,2951,4,967421438
5333,1888,4,960826300
5795,195,1,958080069
4643,3100,3,963998452
1246,3920,2,1024191247
5887,595,4,957485609
4773,2792,3,963069330
1241,112,3,974833268
328,648,2,976396415
3692,653,4,966396164
5629,2067,5,965417249
677,3803,4,975611622
396,2804,4,976296952
2943,29,5,971321242
3656,482,3,966449133
4438,1254,3,965096608
4771,1287,3,963319516
6006,608,3,956792701
548,2792,4,976139285
5920,2005,3,957311527
4975,17,5,962606804
3585,3468,4,966696372
385,1356,5,976300949
4808,2287,3,962948961
3682,3096,5,966354105
4243,3256,4,965314036
3592,2247,4,970165541
3967,2078,3,967551298
5880,2141,2,957550197
4995,590,3,962593377
985,1213,5,975099755
3280,832,3,968345951
1697,1136,4,974797088
5530,2280,3,959624595
2761,208,2,973148441
1182,1500,3,974853672
2012,316,4,974676381
5090,1244,4,962820686
5394,3176,4,980667015
2544,2951,4,974050238
973,595,3,975860742
3029,1343,3,970363070
6002,1287,5,956802066
4772,2791,3,963078243
3884,2372,1,965815548
4053,1747,3,965492759
19,1148,4,982381689
1068,497,5,974944370
2376,2024,4,974337904
5139,1265,4,962059373
2030,1356,3,974671131
3028,2396,4,970440865
4771,2106,4,963317908
2151,144,5,974620799
5153,920,3,961970553
3515,2692,4,966971340
4791,357,1,962997442
216,708,4,976866880
2887,2707,3,972358503
1015,2456,2,975014534
5567,1259,5,959347072
524,3247,3,976171801
2063,2641,3,975743084
1647,953,4,974807488
2223,3006,3,974600514
5214,848,1,961556572
499,1947,5,976212840
4742,1259,4,963330726
2455,3438,1,974180846
733,1294,4,975482657
4797,2392,5,962997350
3824,1287,4,992897311
117,3877,3,977502308
1002,3072,4,976335679
5429,1955,5,960076558
2054,663,3,974667884
2583,2716,4,974074869
300,1597,2,976507551
2038,1617,5,974671027
4159,1266,5,965337051
2844,3285,2,972531186
1749,3448,1,974839907
4130,3257,2,965352738
4972,1060,4,962607899
4971,1307,3,962606576
77,2907,1,977814298
5225,1,3,961684160
1167,306,3,974860904
5329,3088,5,961006615
1650,246,3,974712363
2489,2118,3,974143630
3841,2815,2,966003618
2288,3435,4,974520178
1506,1517,4,976431785
5105,2908,3,962335585
5955,2054,2,957108510
2340,2467,4,974424145
4009,2614,1,965545269
2426,971,3,974228766
2376,1393,3,974334495
1851,1215,3,991449155
3729,3204,4,967410530
1377,110,5,974770052
796,2857,3,978700555
5026,3623,3,962571525
5220,2245,3,961542372
4841,904,4,962852161
4437,2424,4,965100090
4217,3267,4,966188663
629,1031,3,975784846
5516,2150,5,959704299
2168,3624,4,974611670
461,204,2,976230123
2072,1066,4,974660944
4303,1321,5,965269304
3716,18,5,966272871
6016,489,3,956780729
3878,2657,1,965835639
338,2762,5,976344325
4508,1278,5,964980377
5832,34,4,957886903
5488,3751,4,964213756
1780,3424,3,985421387
5603,1234,5,959211040
4311,1294,3,965258762
1713,3173,3,974705665
663,2986,3,975652742
2825,951,5,973231430
3400,3444,4,967467168
420,1240,3,976285738
2496,1183,1,974175178
609,608,3,975868382
1950,799,4,974700960
3600,1961,5,966625754
5922,3418,4,957818553
4084,1503,3,965434122
2215,319,5,974601654
518,1299,5,978539626
3439,1566,5,967319003
3756,3763,3,966098781
2263,1221,5,974580758
4064,45,2,965479863
4121,2901,3,965357450
4028,2325,5,966200232
368,3798,4,976311390
4585,2720,3,964323434
4908,3114,5,962685668
137,1093,2,977373136
749,480,2,975476863
3835,3565,5,966363201
2503,541,4,974084596
5605,1021,2,959554422
1621,2150,3,974726382
6026,2455,4,956726141
5747,1101,4,958355039
4491,1590,4,965007007
907,1252,4,975207989
3910,1912,3,965755308
4627,2918,2,964109891
4933,329,1,962651535
5717,2005,5,958744526
1516,1527,3,976293916
549,524,5,976068092
2777,1569,4,973051121
4736,333,3,963631886
3771,2648,4,966047843
4498,2889,3,964997709
1712,2859,4,980388261
2172,674,1,974611512
5558,2324,4,959390713
2888,1625,3,972062580
101,1200,3,977577958
5423,986,4,960147831
2941,1,5,971351417
3821,3578,2,984417637
4119,3780,5,965359321
2801,3051,1,972845840
3590,371,3,966655678
3261,1373,2,968937046
2887,356,5,972270732
2321,1907,3,974475273
3871,2054,3,965844557
4026,517,4,965521670
5387,2985,5,960337257
4169,2988,4,971580678
737,111,5,985058708
1866,3948,5,974753321
2054,1845,3,974668101
232,1333,5,976811935
1984,1949,3,974684999
1412,1377,3,974761617
3988,218,4,965708283
2599,2078,3,973796719
1695,2194,5,974709225
1050,1597,2,974962652
6007,253,2,956790310
3471,2840,3,968032723
4071,3261,3,965606275
4281,3763,2,965279790
752,506,5,975460188
5811,2139,4,958030341
929,3114,5,975191572
363,3514,4,976312530
1325,2355,4,974777249
3777,912,5,966035207
5740,2987,4,958406385
1851,1273,3,1037047477
2820,2583,2,1006736673
4271,1702,1,965306711
5841,1909,3,957824309
1749,1025,2,974840550
4418,1028,3,978741071
566,2167,4,976211184
1425,1,5,976932728
5709,1480,4,961729605
2170,2064,5,974611733
2446,2161,4,974235338
5706,2094,4,961036760
2153,39,3,974626572
699,1923,4,975557989
1980,1663,4,974773247
3416,588,3,967402735
1053,1429,2,974954301
3163,2346,4,987530448
2537,952,3,974050993
5077,3104,5,962417722
4508,1831,3,964981676
5963,2826,3,957022023
4459,1242,5,965073774
1642,858,5,974713597
2116,113,3,983993465
1058,2100,3,974958067
2305,999,5,974493003
4562,3552,4,964495946
1860,3357,3,974696299
4609,3527,2,964166157
5703,3334,4,958575896
4128,2791,3,965353644
3603,1201,1,966615401
4092,2134,5,965420597
4292,1356,5,965274405
2042,231,4,974668740
3589,383,4,1019403895
6013,3287,3,958068380
494,2717,5,976215947
2880,1148,5,972269843
1066,1409,5,974946713
4578,1092,5,964449492
3054,1929,4,970590841
850,1968,3,975352718
1179,2019,5,974868237
463,2502,3,976227985
1812,1722,3,1030120980
2717,2028,5,973287344
2848,1907,3,972514172
151,2747,3,993119572
5692,3513,5,958596708
4821,1124,4,962945912
4217,2716,4,965316975
1757,329,2,974704145
5686,2746,1,958690993
5673,3334,4,958678523
5026,2403,4,962775245
1941,2017,4,974853751
48,1291,4,978064452
536,1222,5,976138331
1931,1346,4,974690863
4556,1993,1,965061632
2745,2021,5,973215796
4650,231,4,963957346
1120,2142,3,975437883
5074,3418,3,962430345
208,110,4,976915720
1635,1713,4,974773852
5398,2712,1,960300395
528,1629,3,995899534
2063,3053,4,976881998
331,2058,3,979855365
2109,3528,2,974664531
1878,1580,3,974845115
216,2427,4,976870315
677,3751,2,975610675
5723,318,4,999112778
3819,24,3,965949209
5636,2511,5,960520594
4261,423,4,965306373
2932,628,5,971487950
566,2542,2,976039289
816,3133,4,975468461
5617,2968,3,959128467
120,2542,4,977459261
1680,1965,3,974714208
5103,1762,4,962450837
4238,442,4,965341816
1971,202,3,974685139
2895,288,5,971987438
5980,357,4,956944494
202,2797,3,976940086
4613,3461,3,964145006
5394,2640,3,1009820201
1455,3108,3,974757867
2547,2396,3,989459054
2446,1885,4,975349788
5613,1777,1,959135745
4879,3210,3,962765840
2526,2454,2,974067279
2251,1334,4,974600976
1599,3686,4,974823036
1928,2490,4,975189024
3526,3646,2,966903549
5626,3769,3,967273945
4508,2046,3,965971232
5029,280,4,962566433
2592,3946,4,974057566
4813,1080,3,962930148
4272,1573,3,965301747
1255,34,5,974823058
1194,3869,1,1036311315
806,2935,5,975394209
2342,1267,5,974417231
5550,589,5,959470277
77,2762,4,977814274
1675,329,3,974711297
2665,3729,2,974231958
3796,2779,4,966015002
4725,2294,3,963375541
1496,3826,2,974750949
864,2502,4,977530276
957,2761,4,977201700
2073,3259,5,974756497
1418,2054,3,974770801
996,3681,4,975054694
949,1,5,975224711
1182,926,4,997261501
2793,1208,5,972931830
3416,423,4,967403536
1764,1748,4,974706318
3912,1201,5,965754185
3679,1376,4,966360376
2424,3826,3,974786064
1068,3723,4,974945435
3411,2699,2,967756770
4360,1,3,965187347
3480,3614,3,967087937
2194,1049,2,974608007
2840,1573,4,972571165
4230,3763,3,965312408
6010,1370,4,956859272
3578,1732,4,966711103
5689,2336,4,963240429
5384,1947,5,960332224
899,1441,4,975216777
3486,1967,5,967059906
5303,1124,5,960951546
4601,168,4,964208059
911,3341,4,1032104103
5792,1876,3,1001010088
3796,3244,4,966014941
752,1912,5,1029311175
4625,1676,3,964113088
1717,778,5,974706281
975,1797,5,975122663
1120,3243,3,1037344098
3626,2451,3,966618081
4354,2375,5,965192691
1425,102,3,977864451
1899,3578,3,975035785
1726,2028,5,974710109
5517,934,3,959701825
2955,2797,4,971205694
870,1090,3,975274860
790,541,5,975428841
1727,2087,4,974712828
5787,945,5,1001121849
4028,2065,5,966176126
1634,454,3,974718113
3229,1280,3,968560077
655,538,4,975699119
4807,899,4,962936487
4302,780,4,965269608
5148,1617,5,962014900
3032,3707,4,970355831
6025,236,3,956731671
5853,11,2,957747681
3100,778,4,969592249
2913,745,5,971766677
1291,862,4,974790117
2436,3072,2,974223830
3229,595,4,968559558
3693,1084,4,989254143
3726,2949,3,966227541
301,2529,3,976573851
5466,1758,4,959898697
4364,674,2,965184699
721,2806,3,983717636
4666,3359,5,964809464
398,1073,3,1044566594
4940,3733,4,1022014540
4979,3917,1,969322029
4062,628,4,965481170
198,480,4,976979167
5369,1245,3,960489668
1655,1291,5,974739706
1736,2150,5,974704432
1448,2490,3,976130198
1749,2575,4,974753878
332,150,4,976381987
851,2628,3,975348222
4356,1262,3,965190183
4354,2291,2,965197756
2465,3578,4,974314492
3703,480,1,966285210
3840,788,4,975987780
4225,319,4,965313096
2840,694,2,972572987
4088,3147,4,965429588
5786,2736,4,958267934
2203,2145,4,974609228
5892,32,4,957465916
4508,390,4,993147020
1680,542,4,974837886
5324,3168,4,960861206
2137,2668,3,974640672
5902,527,5,957395187
5345,1884,4,960673161
3390,1362,5,967512179
5794,2004,2,958071616
2247,3296,4,979275673
3792,3868,3,966360278
1757,3156,2,974704719
4984,3201,2,962594090
4539,906,1,964684471
2288,3535,3,974518010
2608,1208,3,973727335
3549,2108,4,966825489
658,2333,4,975691578
4908,1197,5,962679070
366,2069,3,978543097
552,1694,4,976062468
1336,2761,5,974946280
5755,2407,3,958280174
4260,2402,3,965305911
4443,938,4,965096125
2559,2770,4,973988475
2074,3409,3,974658686
4172,866,4,965333040
131,764,4,977432129
972,1580,4,975107458
935,1916,2,976668726
4344,839,1,965933858
2059,3062,4,974751888
4404,3614,2,965157831
4721,2716,5,963375020
5113,3260,3,971973099
1267,1061,3,974910855
4344,648,4,966453628
4301,2028,5,965267136
3735,3254,4,966922932
5433,2676,4,960242518
4478,3920,5,991836908
3929,802,4,965712061
1298,3441,4,974842564
1880,253,4,974705632
1912,2712,4,993856622
1585,249,3,974736239
5208,3300,4,961625127
5550,1488,3,959623281
992,3481,2,975074908
2751,265,3,973200909
3308,1892,3,967999887
2761,3703,5,973147272
3181,3462,5,968773186
1695,2683,1,974709887
99,3753,4,982873115
5355,1080,4,960597461
2895,500,4,972405999
4227,3846,3,965413421
3024,3489,5,970624934
1399,2600,4,1008600952
546,2657,4,976068433
3526,3249,2,967613499
4918,1189,3,965014821
3824,319,4,970245111
4091,34,3,965424714
5795,2717,3,958148859
4186,1205,1,965328202
2621,1693,4,973655657
2177,2087,4,974611875
695,3298,2,975559966
137,589,4,1000867876
1548,2333,5,974741710
3340,2858,4,967986529
3453,3035,5,967239659
4204,1500,4,965322996
1884,1219,5,974762870
1425,1649,4,977863349
5091,1297,4,963676544
1125,3649,3,975628005
3398,2692,3,967480264
975,1287,3,975120150
803,2115,4,975396110
3841,3730,4,966001883
5923,1393,5,957295831
1695,1391,4,974708141
3384,1327,2,967566384
5743,1272,4,958397552
5535,6,4,959580575
3887,150,3,965805544
5717,2114,5,958747790
3672,3269,2,966375950
390,1215,5,976300697
4318,2701,1,965382700
2472,105,3,974253324
5689,1912,2,959870447
2955,2624,2,971204307
1741,1590,3,974708705
4725,165,3,963369297
1422,3098,3,979163780
3713,499,3,966271471
5682,16,5,959042604
3159,2716,4,968880172
5050,736,4,968038569
976,2841,3,975105812
533,1253,4,976208162
3934,2806,2,965706795
4694,2860,2,963602574
469,908,5,976224971
3311,2735,3,967955509
4070,2628,2,991713814
3737,474,4,966189936
5041,3608,2,962508670
5394,1267,5,1026797934
2737,334,3,973226010
1668,110,5,974709546
2513,342,4,974071439
1657,2018,3,976222650
3756,203,3,966106881
3280,3844,1,968348814
2788,3468,5,972958381
5702,2396,4,958579180
2105,2858,5,974652185
3483,2028,5,967071853
482,24,3,976220224
2170,3072,5,974611462
6036,39,3,956717447
4950,1086,5,962641028
1194,1422,3,1036307846
2985,3793,4,1029891471
533,2633,4,976208788
5722,3037,4,958502219
4152,153,3,965340878
260,1214,3,976670824
3072,2804,3,969938339
3603,3445,4,966621147
1317,830,3,975216875
1105,3476,4,976047012
1727,2167,4,974707083
1407,551,5,974762587
3563,1225,5,966787672
3625,2702,4,966563066
1916,938,3,974693216
5639,593,4,958964224
2670,1747,4,973547654
4916,2318,1,962676327
4312,697,3,1001626913
4453,1374,4,965086412
1982,3113,3,974684261
4958,1094,5,968166027
2293,2921,4,974511893
2177,497,4,974613234
4757,1090,4,978803850
4422,1978,2,965182376
996,246,5,975103031
4404,2699,3,965157848
5163,3710,4,961902951
5308,1201,4,960935421
1941,1611,3,989645439
976,1513,3,975105788
4248,110,5,965308700
5103,2322,5,962451237
549,1597,3,976116746
1471,1171,4,974753567
2016,892,5,974677197
2484,1242,5,974145516
1015,253,4,975106607
4567,3033,4,964639199
3507,2861,1,982458725
2484,1021,3,974147680
5726,541,3,958495810
4845,3684,5,963282674
5317,3809,2,972358980
1941,910,4,974949682
791,1387,5,982009185
682,1340,5,975601735
2776,1095,4,973055733
352,446,5,976331489
3196,2142,3,971105891
5848,1101,4,957781276
1322,357,5,974777463
3829,47,4,965937700
2810,351,5,972771219
1317,2043,4,974785201
3600,158,2,966626345
4790,288,3,963106121
2139,105,5,974640155
3885,3708,2,967652757
178,1951,4,977108923
748,1580,4,975461234
5344,647,4,960675355
1613,2302,4,974732405
2304,484,3,974501005
2585,1012,3,973876758
2508,2761,3,974075131
2271,3174,4,1007158720
3299,1285,5,968116404
2279,1956,3,974560776
889,652,3,975249893
2419,3528,4,974248733
5878,1907,4,1043782487
4635,608,2,964033288
4934,58,2,1010070366
5765,2133,4,958180815
5831,1246,4,957910646
3934,2354,2,965707419
4278,423,3,965289788
575,1265,4,975989029
922,3897,4,975215931
3277,3834,3,968208060
1010,383,2,975226821
1680,3689,3,974838350
954,1265,4,975134608
1194,2474,3,1036962888
2102,2406,3,974653154
3858,953,5,965872889
5778,1097,5,958157729
3543,449,1,966868984
3294,555,3,968073107
1199,300,4,974847156
5459,2502,5,959911343
3529,1030,3,966897136
3416,674,4,967407563
1356,2860,1,974772171
1277,1991,2,974797845
868,3016,3,975276811
5757,788,4,958259086
4592,377,3,964299377
4286,3641,1,965280200
2900,2692,5,971902833
5018,2732,4,962583822
2624,2407,5,973651587
2290,3298,4,974519530
2573,2763,4,973907681
970,339,4,975112166
1606,160,1,974735774
2295,588,4,974508656
1865,2302,4,976585357
2929,1278,4,971550218
146,3420,5,979854434
3261,3181,1,968250975
5978,2476,3,964182289
1278,318,4,974795313
2105,3081,4,974669751
2259,3424,4,974592342
1117,3141,2,975693624
4688,2241,2,963619540
1100,3213,5,974924042
1224,1211,5,975167282
4814,650,3,962929612
4364,1342,3,965185585
2398,1693,5,974278984
1599,288,3,974844587
3501,3871,4,966998485
4112,1198,5,965365782
5394,852,3,1002035764
789,2713,1,975429448
1265,3388,1,1011801471
2419,3707,2,974247984
4417,2058,4,965136573
3755,1221,5,966098525
1396,2145,3,974765416
4831,1278,5,962902472
531,79,1,978974223
350,2692,5,976326969
4105,2542,3,965408571
4543,2115,4,964671062
1337,986,4,974776493
1088,3148,4,983744009
4022,3735,4,965522723
3067,1573,4,969997529
5931,2571,5,957227328
2533,2497,4,974056590
302,1028,3,976508444
1546,2372,4,974742100
4064,1968,2,965478134
2577,2688,4,974151302
1017,3114,5,975009450
2232,1603,3,974597079
3624,1476,4,966952166
5286,1285,5,961090714
2680,2333,1,973400621
1792,3081,4,974700225
2238,247,5,974595972
4484,150,4,965018873
4934,3083,2,1004721792
2168,2770,3,975705443
4832,593,5,962899206
2967,1191,2,971150428
3953,1907,4,1029643474
968,32,4,975114878
1692,1249,3,974709669
633,1127,3,975775765
4475,1265,4,965062015
3579,303,3,966710052
5902,3606,5,957396013
509,18,4,976299115
4116,2720,3,965363954
3685,3301,4,983061507
5645,1673,5,958881191
1054,2424,4,975102314
4218,3160,2,965320774
2946,2118,3,971275733
3278,898,5,971622500
3463,2290,2,967174676
1932,2174,4,974705484
6016,1596,3,956959151
4967,1527,4,962611962
5098,3037,4,962374682
546,924,3,976069591
5837,2987,3,958147040
3884,5,2,967597601
308,1228,4,976484423
778,2985,3,975436448
2194,1220,4,974607724
1203,2002,3,998231635
4497,2485,5,972444861
5394,608,5,960320273
3032,2012,5,970348488
4796,3341,5,962990730
4315,592,3,965257465
5585,2726,5,959726225
166,3249,3,977298869
4354,3526,3,965192359
1147,1198,4,974873547
4992,2664,4,971563764
2352,3499,3,974401258
3497,2762,5,967182274
2030,3814,4,974672476
3638,1215,4,966580157
5091,2144,4,963676567
3240,2671,4,968350545
1312,546,2,974783436
4556,328,2,965061502
778,589,5,975436305
5740,1584,3,958406252
3595,2858,4,966630418
3505,342,3,990840022
4788,2797,4,962997319
2997,373,4,970672090
411,3253,3,997066355
319,736,3,976424318
1321,3111,4,974778150
1448,2405,4,977259716
2288,1214,4,974518284
3520,663,3,1033784660
1666,2194,4,974968510
1958,204,3,1027963910
3675,1784,4,966362540
3711,2687,5,966271498
4655,222,5,963902783
4277,681,5,970048455
208,1343,3,984512979
5345,574,5,960672960
692,2028,5,975739772
5812,562,3,957943524
3643,481,4,966635138
4543,60,3,965107027
3464,2551,4,967174774
2010,485,1,974676856
5091,2858,5,962388658
652,1580,3,975702972
559,185,3,976046563
4647,3147,3,963965796
4734,3698,5,963324809
3732,2926,1,1037468632
2109,2098,2,974654685
3823,3011,3,965943853
1448,3398,4,977257670
5111,2081,5,962424415
4072,1225,5,965452102
4496,3147,4,965860211
1837,405,1,976025867
631,350,4,975782112
3973,608,5,967660510
3308,1270,4,967975614
5880,2273,5,958404891
5256,1422,3,971965796
2271,3811,4,974575015
1943,3087,4,993844193
2264,3499,4,974581904
163,1625,4,977217284
669,2006,4,975630522
92,1028,4,986187545
4139,2891,4,965350633
5250,2154,2,961357771
2764,272,3,973135835
69,2969,5,977880995
3331,2688,1,967848550
2689,2797,5,973348557
216,1005,3,976867794
355,1197,5,977031096
4765,1203,5,971813543
1899,914,3,974695674
5047,440,5,962497679
1697,2139,5,974734037
4055,374,1,965492862
364,3176,4,976311370
1801,2459,3,974698074
4736,1320,4,963630034
5852,2100,2,957755304
4026,21,3,965520021
5321,3359,5,960863171
5151,2167,5,961986130
3894,3176,4,965790778
494,1602,5,976216231
3224,3260,3,968542053
2185,2291,4,975361460
2020,1748,3,974675027
4737,2987,4,963281876
4134,1250,3,965350447
1279,2064,3,974856961
1867,1252,3,974696105
4796,1196,5,962983937
911,1552,4,975237172
1051,2829,4,975111840
3451,322,2,967242629
4220,2797,5,965370823
1825,1097,5,974730917
4285,1894,4,965284471
4382,410,1,965175266
2770,589,5,973104653
3900,2463,3,965875627
2565,2421,2,996352644
4448,3623,2,965087267
5614,39,5,959204004
3681,2407,4,968951074
5956,527,4,957076924
3841,2878,3,966001533
4488,2652,3,965013841
5596,1230,5,959219123
1597,2712,4,998322443
1464,2944,3,974755803
720,829,1,975529866
226,1968,4,976830685
5576,2424,4,959779278
3067,2447,3,996605502
1740,242,3,974705434
2476,1185,5,974149190
5737,1574,3,978238074
588,2463,4,975935107
2862,595,5,972503604
2021,330,1,974673447
3834,266,4,966403832
2127,2858,4,979854887
4979,3682,5,962603797
4659,1608,4,963877465
5544,2719,1,959498756
1753,2105,2,974704580
685,3695,1,975602132
92,1408,3,986711117
2622,380,4,973645044
5957,338,2,957074611
4592,586,3,964303563
2255,594,5,974590433
2544,3873,4,974040659
224,73,2,976833697
1982,2827,2,974684002
5473,2947,4,959886137
1641,3454,3,974715775
3588,527,5,966661763
2771,1059,4,973820045
3689,3208,1,966313248
5966,1704,3,978839355
5414,3709,4,960238987
1246,1203,4,975931194
231,1981,1,1043295045
3491,1916,3,967067610
4298,3019,4,965270033
3990,2871,3,965781431
5394,231,4,981004231
735,1603,4,975480234
4815,2011,5,962929944
2335,858,4,974422830
3511,673,2,966975041
1466,353,4,974757027
587,3551,4,976899981
3586,527,4,966692054
1889,3177,3,976400713
305,1387,3,976497222
2481,3685,2,974220564
205,3911,3,976923395
2777,1552,3,973052311
3032,1617,5,970356701
1902,517,4,974842572
4732,2139,4,963407244
2029,3556,1,974673855
293,527,4,976560323
2664,2109,4,973460458
4343,1894,2,965228568
5443,465,5,959981347
4276,590,5,965296914
1842,34,5,993444349
4591,1792,3,964327661
881,1171,5,975262670
710,1527,4,975572853
3902,3440,5,965767182
4277,3327,5,1024872728
2168,3504,5,1007755545
5107,1594,3,962337982
5337,3685,3,960747634
2985,3034,5,1030591677
2919,1676,5,975445571
3650,1586,4,966459034
3512,296,4,966976648
454,2112,5,1025574331
1175,237,3,974857796
3697,913,4,966301822
5084,2798,1,963895202
2628,3362,5,973627399
2573,2987,4,973907714
1566,2023,4,974739631
4079,3105,4,990618317
749,3735,3,975475934
3158,2716,4,993072266
4248,2815,3,965310441
5580,3461,5,961602177
2996,1344,3,972701191
2461,1265,3,974169631
1685,1041,5,974713089
1854,3114,4,974698312
2085,552,3,974655762
5367,2406,3,960500076
4277,3447,5,967111707
2219,608,5,974600427
